4.74,6.05,-12.95,0.64,-1.04,0.67
12.57,6.31,-19.15,4.47,0.11,-0.17
13.67,7.74,-20.03,4.93,0.76,-0.29
14.90,8.51,-19.18,5.40,1.50,-0.35
15.00,9.11,-17.42,5.93,2.16,-0.31
13.27,10.40,-15.35,6.32,2.47,-0.14
7.14,4.10,-8.94,2.19,-2.17,3.45
7.79,2.85,-9.87,1.99,-1.88,3.34
7.94,2.22,-9.92,2.08,-1.66,3.02
7.85,2.07,-9.44,2.28,-1.10,2.72
7.85,2.49,-8.82,2.46,-0.57,2.37
6.93,3.55,-8.04,2.52,-0.13,2.10
2.42,1.81,-4.60,-0.17,0.03,0.51
2.16,1.74,-4.56,-0.44,-0.01,0.29
2.14,1.98,-4.82,-0.84,-0.13,0.08
2.80,2.07,-5.44,-1.29,-0.21,-0.08
3.63,1.87,-6.34,-1.68,-0.20,-0.24
6.30,3.55,-9.61,-3.75,-0.30,-1.63
7.41,3.86,-10.33,-4.02,-0.34,-1.60
7.75,4.27,-11.05,-4.22,-0.22,-1.62
8.39,4.52,-11.47,-4.35,-0.01,-1.62
9.11,4.72,-11.73,-4.41,0.17,-1.62
9.73,5.12,-12.30,-4.36,0.29,-1.63
9.90,7.03,-14.95,-4.43,0.40,-0.68
9.29,6.95,-14.58,-4.32,0.24,-0.45
8.80,6.84,-14.14,-4.17,0.01,-0.20
8.44,6.45,-13.97,-3.98,-0.22,0.05
8.11,5.68,-14.09,-3.76,-0.43,0.25
7.41,2.23,-11.99,-1.12,-0.56,0.81
8.19,2.02,-11.71,-0.85,-0.37,0.77
7.99,1.83,-12.99,-0.60,-0.10,0.69
8.63,2.56,-12.68,-0.21,0.13,0.65
8.63,3.00,-12.02,0.05,0.31,0.69
12.27,5.34,-8.30,2.86,0.58,1.28
11.86,6.51,-8.00,2.68,0.51,1.51
12.59,6.53,-7.16,2.57,0.32,1.79
12.75,6.67,-7.04,2.53,0.10,2.07
13.00,7.09,-7.59,2.44,-0.17,2.36
13.30,7.59,-8.01,2.28,-0.39,2.64
10.93,3.60,-6.98,1.68,-0.12,3.23
10.40,3.35,-7.10,1.53,-0.16,3.19
9.83,3.08,-7.13,1.40,-0.16,3.13
9.12,2.64,-7.00,1.31,-0.13,3.08
8.29,2.32,-6.76,1.24,-0.15,3.06
5.04,-0.82,-7.65,0.40,0.39,1.99
3.73,-0.67,-7.28,0.05,-0.06,2.12
3.46,-0.74,-6.90,-0.41,-0.83,2.26
3.62,-1.43,-6.59,-0.77,-1.33,2.38
3.40,-2.56,-6.44,-0.91,-1.54,2.44
3.28,-3.65,-6.53,-0.88,-1.64,2.36
2.51,-2.69,-4.82,-1.42,1.21,-0.51
2.41,-2.32,-4.75,-1.73,1.20,-0.68
2.56,-2.04,-4.99,-2.08,1.08,-0.81
2.86,-1.71,-5.49,-2.44,0.91,-0.91
3.28,-1.37,-6.13,-2.83,0.75,-0.99
7.44,3.78,-10.31,-5.09,0.83,-1.37
7.40,4.31,-10.63,-5.20,0.85,-1.32
7.58,5.06,-12.06,-5.24,0.95,-1.23
8.20,6.52,-14.35,-5.34,0.89,-1.18
8.82,8.04,-16.08,-5.45,0.89,-0.98
8.79,5.20,-16.16,-5.22,-0.55,1.18
8.74,4.43,-15.37,-4.78,-0.72,1.31
7.99,3.73,-14.94,-4.32,-0.88,1.36
7.47,3.11,-14.65,-3.89,-1.06,1.39
7.26,2.76,-14.41,-3.54,-1.17,1.36
6.10,-0.37,-12.26,-0.23,0.02,0.33
6.53,-0.40,-12.90,0.18,0.07,0.27
7.07,-0.01,-13.33,0.61,0.19,0.20
7.53,0.77,-13.40,1.05,0.28,0.14
7.56,1.51,-13.40,1.38,0.26,0.14
7.58,1.45,-13.27,1.64,0.15,0.17
11.64,4.81,-9.82,4.63,1.28,1.28
12.24,4.78,-11.02,4.51,0.95,1.63
13.71,4.02,-11.98,4.34,0.88,1.89
14.38,3.21,-12.47,4.31,1.09,1.95
14.86,4.06,-11.98,4.31,1.58,2.00
9.54,-1.10,-6.09,1.84,-1.23,3.87
8.64,-1.04,-6.42,1.85,-1.28,3.76
7.57,-0.88,-6.40,1.78,-1.33,3.67
6.54,-1.13,-6.00,1.66,-1.40,3.59
5.89,-1.55,-5.41,1.54,-1.46,3.46
5.24,-1.85,-4.98,1.40,-1.53,3.26
2.29,-1.84,-2.84,-0.77,-0.32,0.19
